id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4758668291608469,LoCeh6Kr3,2610876564,我的追星大号,#完美代入小说女主的长相#她的眼里有故事！,,,,完美代入小说女主的长相,4,2,122,2022-04-15 23:59,电视剧超话,https://wx3.sinaimg.cn/large/9b9ed094gy1h1aum733rbj20u0196gxb.jpg,,,,红V
4758668082155525,LoCdW92Kx,5706930123,蓅藝菲,【刘亦菲实绩偷不来更偷不走】，我投给了“迪士尼大女主花木兰”这个选项，你也快来表态吧~,,,,,0,0,0,2022-04-15 23:59,Android,,,,,普通用户
4758638407977129,LoBs4xtdn,7479686389,想到的昵称全部不可用,各位刘亦菲们，夏天要到了，防晒做起来啊，这样就能跟刘亦菲一样白抽一位宝贝送安热沙防晒喷雾，转发带刘亦菲名字送上美好的祝福哦@刘亦菲刘亦菲超话,,,刘亦菲,,458,417,191,2022-04-15 22:01,刘亦菲超话,https://wx1.sinaimg.cn/large/008ac073ly1h1ar6823t1j30v90v9tdr.jpg,,,,
4758667913596554,LoCdFf5CW,5874685132,想吃芒果了1,#刘亦菲去有风的地方#lyf#刘亦菲许红豆#,,,,"刘亦菲去有风的地方,刘亦菲许红豆",0,0,191,2022-04-15 23:58,HUAWEI nova 3,,,4758638407977129,,普通用户
4758649463380028,LoBJUebiA,7508149943,新之助不理不理不理不理,刘亦菲超话刘亦菲粉丝今天真呀真高兴来抽个奖谢谢仙粉为爱发电👉抽5*100RMB请带#刘亦菲去有风的地方#转发即可仇家不抽这么多人加抽20*20❗️希望仙粉都多多中奖大家一定要开开心心为爱发电不易同是亦家人[虎爪比心]i录i斋i豆i刘亦菲大家周末愉快O抽奖详情,,,,刘亦菲去有风的地方,1102,951,586,2022-04-15 22:45,刘亦菲超话,https://wx3.sinaimg.cn/large/008c7qMDgy1h1ase8by8mj30j60poq4e.jpg,,,,
4758667046161367,LoCcgpQQT,6113101508,小卿爱茜茜吖,#刘亦菲去有风的地方#,,,,刘亦菲去有风的地方,0,0,586,2022-04-15 23:54,nova6 5G自拍大不一样,,,4758649463380028,,普通用户
4758623916394643,LoB4HqPxp,6024140972,泠泠七弦上a,刘亦菲超话#刘亦菲去有风的地方##刘亦菲许红豆#[{这条已经开奖了！！！！}]就庆祝一下明天我休息，茜茜上班，带刘亦菲大名转发微博，抽10个小姐妹平分82.5。。@微博抽奖平台第一次用，试试先O抽奖详情,,,微博抽奖平台,"刘亦菲去有风的地方,刘亦菲许红豆",196,170,112,2022-04-15 21:03,刘亦菲超话,,,,,
4758305827981023,LosNExueb,5228142093,love番茄酱peace,广播剧难哄太上头了，终于听完大结局了，听剧的时候脑里自动带入女主刘亦菲和push(推哥我印象中有梨涡),,,,,0,2,1,2022-04-14 23:59,iPhone 12 Pro,,,,,普通用户
4758304439407455,LosLpDtj9,6407694533,还给睡觉,刘亦菲超话菲迷们也注意一下自己言语最好还是别公开那啥小心自己的耗子,,,,,0,2,15,2022-04-14 23:54,刘亦菲超话,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19osjgrmtj30r51gtag3.jpg,,,,普通用户
4758304423151766,LosLoddUW,7567224355,体育白晓生,19岁爱豆时期的刘亦菲,,,,,0,0,1,2022-04-14 23:54,即刻笔记,"https://wx1.sinaimg.cn/large/005GIVK4ly1gyy07xk329j30yh0p542s.jpg,https://wx1.sinaimg.cn/large/005GIVK4ly1gyy07x5uh7j30xk1bktfh.jpg,https://wx1.sinaimg.cn/large/005GIVK4ly1gyy07ralnrj30u0195n1b.jpg,https://wx4.sinaimg.cn/large/005GIVK4ly1gyy0hzjnymj30yh190alf.jpg,https://wx3.sinaimg.cn/large/005GIVK4ly1gyy4c8oc4lj315o47qe81.jpg,https://wx2.sinaimg.cn/large/008qlHWfgy1gz5h8qc58ij30qy0ttq65.jpg,https://wx2.sinaimg.cn/large/008q73Hegy1h1837vt07sj30u03uatqt.jpg,https://wx1.sinaimg.cn/large/005GIVK4ly1gyy080idftj30rs24k7ld.jpg",,,,黄V
4758219606461680,LoqyAr6YE,1047702544,碎冰碰壁响,有一个问题去有风的地方为什么叫去有风的地方而不叫在有风的地方谁去有风的地方呢刘亦菲饰演的许红豆呀我们在日歪屁股的low官博如果有人上赶着当护博狗合理怀疑脂粉有备而来,,,,,1,3,24,2022-04-14 18:17,,,,,,
4758303706710583,LosKes9Jd,5372965819,黄亦玫的收藏夹,我喜欢这个解释#刘亦菲去有风的地方#lyf#刘亦菲许红豆#//@巷口的花开了·:上次在超话看到的“女主去大漠就是去有沙的地方”//@与天仙红尘作伴:主角换副本嘛。女主去云南，就是去有风的地方；去前面，就会叫去有土的地方；去三亚，就是去有海的地方。,,,"巷口的花开了·,与天仙红尘作伴","刘亦菲去有风的地方,刘亦菲许红豆",0,0,24,2022-04-14 23:51,nova7Pro你在焦点在,,,4758219606461680,,普通用户
4758303496736314,LosJTsgqe,6578257775,挚爱追剧博,赵丽颖的《与凤行》基本定了，也算是任务剧吧。《幸福到万家》目前暂定4月29东、北联播，优酷播出。龚俊他本人是想再演一部仙侠剧来稳一稳流量的，这段时间接触这类题材的项目比较多。杨洋现在更重视《特战荣耀》这部剧，如果反响好，他很有可能再拿下一部正剧。王俊凯的《重生之门》已经在排播，不出意外的话估计这个月下旬就会播。刘亦菲和井柏然的《南烟斋笔录》片方在努力争取四月底的档迪丽热巴目前是不打算考虑偶像剧，现在看的剧本都是偏职场方向的现代戏任敏和丁禹兮是光线的一哥一姐，光线有个电影饼想让他俩二搭。朱一龙《人生大事》可能要挪到国庆档。,,,,,0,2,0,2022-04-14 23:50,搜狗高速浏览器,,,,,黄V
4758232973448963,LoqU9eter,6407694533,还给睡觉,刘亦菲超话抽奖！废话不多说：①转发本条微博带#刘亦菲去有风的地方##刘亦菲许红豆##刘亦菲梦华录##刘亦菲赵盼儿#任意两个话题②转发@哎呀法拉微博正文这条微博（图1-3）并@华策影视③欢迎各位刘亦菲欢迎参与O抽奖详情,,,"哎呀法拉,华策影视","刘亦菲去有风的地方,刘亦菲许红豆,刘亦菲梦华录,刘亦菲赵盼儿",95,101,63,2022-04-14 19:10,HUAWEI P30 Pro,"https://wx1.sinaimg.cn/large/006ZE23Pgy1h19gh3svjqj30u01t0apn.jpg,https://wx1.sinaimg.cn/large/006ZE23Pgy1h19ghdg5kjj30u01t0wtm.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19ghvm2rej30u01t04d0.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19gl2h82gj30r60xp7gj.jpg,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19gl682bfj30r60xw7gf.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19gl9mfarj30u0140tci.jpg,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19glbg8maj313u0qogu3.jpg,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19gm5047mj30u01amwja.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19gm5xo6mj30sy11nadg.jpg",,,,
4758301453846596,LosGBg8FS,5532283015,睡到不气才起床icc,#刘亦菲去有风的地方##刘亦菲许红豆#,,,,"刘亦菲去有风的地方,刘亦菲许红豆",0,0,63,2022-04-14 23:42,iPhone客户端,,,4758232973448963,,普通用户
4758301042278838,LosFW9yPs,2701714352,念小恋电影,杨洋井柏然从刚开始的期待到后面的全员自闭，真的是被真人秀教做人了特战荣耀刘亦菲L念小恋电影的微博视频,,,,,0,0,0,2022-04-14 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/QoHHKw2rlx07Vhmllqik0104120097D70E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264496&ssig=d%2F3lB%2FytK4&KID=unistore,video",,,普通用户
4758301037824110,LosFVwPpk,1931193225,毒花公子,全智贤刘亦菲|||因为太漂亮了所以就想放一起L毒花公子的微博视频,,,,,0,0,1,2022-04-14 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/w6wWCkgClx07VhmlikG4010412007Vbb0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264496&ssig=Jd9018Siom&KID=unistore,video",,,黄V
4758300983821108,LosFQg22M,2924421507,小颖电影,爱豆时期的刘亦菲我才知道爱豆时期的刘亦菲这么漂亮！妥妥女团C位！刘亦菲L小颖电影的微博视频,,,,,0,0,0,2022-04-14 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/cEnPae7hlx07VhmklFc4010412007yqy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264496&ssig=SPO%2Bd%2Fw3KF&KID=unistore,video",,,普通用户
4757943025404067,LojmumFQn,3775042320,西施的珍宝,本一级废柴尽力惹#陪赵盼儿去汴京#lyf#刘亦菲梦华录#,,,,"陪赵盼儿去汴京,刘亦菲梦华录",0,1,1,2022-04-13 23:57,电视剧梦华录超话,https://wx2.sinaimg.cn/large/e1029310ly1h18ja02p0nj20u012cdj5.jpg,,,,普通用户
4757942249197435,LojleCAFJ,3455816930,香兰看电影,神仙姐姐刘亦菲真不是盖得刘亦菲#娱乐综艺##明星日常#L香兰看电影的微博视频,,,,"娱乐综艺,明星日常",0,0,0,2022-04-13 23:54,微博视频号,,"http://f.video.weibocdn.com/o0/EY5n7nyKlx07VfMqZbIA010412006HOg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264522&ssig=El4rU6pfxL&KID=unistore,video",,,普通用户
4757580951324597,Lo9Wv5yAt,1792995664,努力做快乐废物,我莲的美貌，到底谁能救一下我真的很喜欢刘亦菲演的这个角色T_T,,,,,0,0,8,2022-04-12 23:59,微博网页版,,,,,普通用户
4757580553915139,Lo9VRgqvp,7437926424,烤烤羊驼,#自带滤镜的刘亦菲#不愧是天仙,,,,自带滤镜的刘亦菲,0,0,5,2022-04-12 23:57,贺峻霖的深海,,,,,普通用户
4757580238555044,Lo9VlzTyA,2256479203,电影速看3,演员吃戏有多难？刘亦菲吞活金鱼，彭于晏嚼“小雨伞”致咬肌充血电影解说吃戏(0001)#微博放映厅#综艺追踪王#L电影速看3的微博视频,,,,微博放映厅,0,0,0,2022-04-12 23:56,微博视频号,,"http://f.video.weibocdn.com/o0/YhNangJclx07VebE6W3S01041200dYTW0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264533&ssig=Hld3CW5pXv&KID=unistore,video",,,普通用户
4757580092539068,Lo9V7aEwI,6871875002,已埋名,#去有风的地方#刘亦菲去有风的地方下班路透，姐姐收工后走路的喜悦……！L已埋名的微博视频,,,,去有风的地方,38,72,755,2022-04-12 23:55,微博视频号,,"http://f.video.weibocdn.com/o0/M3XJp9KDlx07Vecyb2xG010412005TM00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264533&ssig=yLP1QVjugi&KID=unistore,video",,,红V
4757578708160644,Lo9SSyeXi,2611536367,橘子很爱美,4️⃣种不同唇型👄画法，刘亦菲们学起来吧💄🌟上一期带大家区分了一下自己的唇形👄相信不少姐妹也有困惑🤔明明是同一支口红💄为什么你涂上就不好看呢？还不是👄唇形不给力‼️通过化妆的技巧来修饰唇形就好了🌟唇窄小画法🌟唇形硬朗画法🌟薄嘴唇画法🌟嘴角下垂画法其实，只要根据自己的唇形涂口红，就算是廉价的口红也能涂出高级感！✌️如有不懂的👇👇👇告诉我哦…,,,,,0,1,0,2022-04-12 23:50,微博 weibo.com,"https://wx1.sinaimg.cn/large/9ba8e1efly1h17dh58x30j20u013zgtb.jpg,https://wx1.sinaimg.cn/large/9ba8e1efly1h17dh699y2j20lc0sfn0k.jpg,https://wx2.sinaimg.cn/large/9ba8e1efly1h17dh6zybxj20lc0sgtbv.jpg,https://wx2.sinaimg.cn/large/9ba8e1efly1h17dh8ew1qj20lc0sg0vw.jpg,https://wx1.sinaimg.cn/large/9ba8e1efly1h17dh97y5zj20lc0sgwi5.jpg",,,,黄V
4757216592397284,Lo0sPa3DS,6014785453,你算哪块粤力粤小饼干,电视剧梦华录超话稳定发挥#陪赵盼儿去汴京#lyf#刘亦菲梦华录#,,,,"陪赵盼儿去汴京,刘亦菲梦华录",0,0,3,2022-04-11 23:51,电视剧梦华录超话,https://wx3.sinaimg.cn/large/006z3qsBly1h167uwkaqjj30u01uoahx.jpg,,,,普通用户
4757188294215034,LnZJbhGwq,6016823817,jiao角,刘亦菲超话今年唯一的爆肝作品#刘亦菲去有风的地方#@刘亦菲Ljiao角的微博视频,,,刘亦菲,刘亦菲去有风的地方,384,392,1917,2022-04-11 21:58,刘亦菲超话,,"http://f.video.weibocdn.com/o0/E8Ldbo4llx07VcsHrgUU010412005BDu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264554&ssig=0LDbVj5%2FbC&KID=unistore,video",,,
4757215380243573,Lo0qS11mB,5863253453,绯音糕,//@刘亦菲FM825:刘亦菲超话#刘亦菲梦华录#跟着刘CC一起舞动,,,刘亦菲FM825,刘亦菲梦华录,0,0,1917,2022-04-11 23:46,iPhone客户端,,,4757188294215034,,黄V
4757213727428355,Lo0ocvasb,5520636790,仙宝梦女i玫版,我和刘亦菲说我要去超市，刘亦菲抱着我说，蝴蝶，先让我超市😭,,,,,0,21,3,2022-04-11 23:40,刘亦菲老婆Android,,,,,普通用户
4757213460038596,Lo0nM0a2w,5314272487,抓住此刻就永远不迟,刘亦菲超话爱sj的黑子，拉黑举报O网页链接,,,,,0,0,2,2022-04-11 23:38,刘亦菲超话,,,,,普通用户
4757212696937352,Lo0mxt6IM,2963117043,小赵儿身体健康,//@刘亦菲FM825:刘亦菲超话#刘亦菲梦华录#跟着刘CC一起舞动,,,刘亦菲FM825,刘亦菲梦华录,0,0,1917,2022-04-11 23:35,OPPO Reno7 5G,,,4757188294215034,,普通用户
4756855786047484,LnR4Spne4,3159077670,言_wyx0920,#云南大理出现双环日晕奇观#刘亦菲今天有分享给我们哦#刘亦菲去有风的地方##刘亦菲许红豆#,,,,"云南大理出现双环日晕奇观,刘亦菲去有风的地方,刘亦菲许红豆",0,0,15,2022-04-10 23:57,努力追光iPhone 11(白色),https://wx4.sinaimg.cn/large/bc4bb326gy1h152fjmi68j22c0340kjn.jpg,,,,黄V
4756847103314399,LnQQSdUe3,1959521522,大理文旅发布厅,#每一帧都是热爱神仙姐姐#@刘亦菲在大理晒出日晕美照（via：大理发布）#风花雪月自在大理##美丽大理#@云南发布@中国旅游报L大理文旅发布厅的微博视频,,昆明·十里长街,"刘亦菲,云南发布,中国旅游报","每一帧都是热爱 神仙姐姐,风花雪月自在大理,美丽大理",65,121,317,2022-04-10 23:23,iPhone客户端,,"http://f.video.weibocdn.com/u0/BXMNDOJegx07VaXC6meA010412009SCz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264575&ssig=e%2FxmzBRfmj&KID=unistore,video",,,
4756855664153014,LnR4Ghqo6,3985921894,一醉和合,好想去大理#刘亦菲去有风的地方#,,,,刘亦菲去有风的地方,0,0,317,2022-04-10 23:57,iQOO Z3 性能先锋,,,4756847103314399,,普通用户
4756698864551312,LnMZMj60g,5884616667,李现工作室,#李现大理生活指南#赶集VLOG掉落，砍价小李的失败教学…🈶️#明星V放送#L李现工作室的微博视频,,,,"李现大理生活指南,明星V放送",109529,18422,123202,2022-04-10 13:34,微博视频号,,"http://f.video.weibocdn.com/o0/qS0BvF0Rlx07Vaj7HSec01041201USw40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264575&ssig=khYkdmQBKX&KID=unistore,video",,,
4756493524798054,LnHEAk8bY,3108827427,天天聊天天,陈奕天变身抓妖大师，其实抓妖意思就是横店很多临演都会去这条街，各种景象就变成了俗称的“妖魔鬼怪”，其实只是一个比喻，陈奕天变身脸盲，陈奕天经过人工画像，坦言只能认出鹿晗，随着旁边的人员立刻就说出刘诗诗、刘亦菲等人，最后陈奕天尴尬的说自己脸盲脸盲，换个地方吧。惹得小编看得哈哈大笑。,,,,,0,0,0,2022-04-09 23:58,皮皮时光机,https://wx1.sinaimg.cn/large/b94cf123ly8h13wuiqd5kj20u01xjwra.jpg,,,,普通用户
4756488495826115,LnHwtorDB,6315046632,想要一杯奶茜,#刘亦菲梦华录#🌸#刘亦菲赵盼儿#穿越时空，梦回汴京，盼与你相见@刘亦菲,,,刘亦菲,"刘亦菲梦华录,刘亦菲赵盼儿",0,0,1,2022-04-09 23:38,电视剧梦华录超话,https://wx2.sinaimg.cn/large/006Tni6Qly1h13w84l7r6j323u35sx6p.jpg,,,,普通用户
4756484674030255,LnHqjgUs7,5520636790,仙宝梦女i玫版,很喜欢李商隐写的海燕参差沟【水流】，同君身世属离忧。刘亦菲粉丝晚安，希望明天还能见到大家,,,,,0,49,57,2022-04-09 23:23,刘亦菲老婆Android,,,,,普通用户
4756411349206067,LnFw2CCUX,5106794146,夜空中最亮的星茜,#刘亦菲梦华录#lyf#刘亦菲赵盼儿#@刘亦菲二代妖精路演，现场影迷cue绍峰，把刘亦菲也逗笑了（视频文字自动识别，有错字）来源：douyinHappywishL夜空中最亮的星茜的微博视频,,,刘亦菲,"刘亦菲梦华录,刘亦菲赵盼儿",13,36,238,2022-04-09 18:31,刘亦菲超话,,"http://f.video.weibocdn.com/o0/zxyBlFxHlx07V92HtsHe0104120076XN0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264595&ssig=28DsfCO%2Fx6&KID=unistore,video",,,
4756483654817129,LnHoFkd9D,2109850014,鸿运当头开心最大,#刘亦菲梦华录#欢乐又搞笑#刘亦菲去有风的地方#,,,,"刘亦菲梦华录,刘亦菲去有风的地方",0,0,238,2022-04-09 23:18,iPhone客户端,,,4756411349206067,,黄V
4756481776027566,LnHlDpi2O,7514399342,内娱唯一的活人,#去有风的地方#刘亦菲许红豆李现谢之遥女主许红豆名字不太好听，太俗气了，希望天仙的气质能给这个角色加成。男主谢之遥这名字挺好的，有点古风的意味，给人一种高山仰止的感觉。不过说句实话，这剧组不太能处，男女主都进组拍戏了，还不官宣，尤其是当粉丝发生矛盾的时候，竟然洋洋洒洒的在超话发长文立规矩。粉丝也是观众啊，是你电视剧的客户，又不是欠你钱，这做法属实有点不地道。不过在我看来，这剧应该刘亦菲一番。刘亦菲出道已经十几年，有赵灵儿小龙女等多个经典角色，作为很多人童年的梦中女神，她的咖位在那里不容置疑。李现作为新声代的流量演员，目前拿出手的作品并不多，除了小甜剧里的韩商言外并无其他出圈角色。应该努力增加自己的实力，提高专业能力，多拍出优秀的作品。希望剧组早日官宣吧，我们观众也是很期待的。#清欢闲谈#,,,,"去有风的地方,清欢闲谈",0,0,4,2022-04-09 23:11,小米9,"https://wx2.sinaimg.cn/large/008cxExogy1h13v64ufngj30qd0z5dk3.jpg,https://wx1.sinaimg.cn/large/008cxExogy1h13v65d772j30u01hcagl.jpg,https://wx2.sinaimg.cn/large/008cxExogy1h13v6636f9j30u013wgxx.jpg,https://wx4.sinaimg.cn/large/008cxExogy1h13v66ury3j30qo0zkwpo.jpg,https://wx4.sinaimg.cn/large/008cxExogy1h13v67e66qj30go0z4n22.jpg",,,,普通用户
4756478437625680,LnHgfvZMQ,6266927357,仙界驻人间办事处,#刘亦菲去有风的地方##刘亦菲梦华录#晚安！各位！,,,,"刘亦菲去有风的地方,刘亦菲梦华录",0,20,46,2022-04-09 22:58,刘亦菲超话,https://wx3.sinaimg.cn/large/006Q7o5vgy1h13v31ytuxj33ib2tdb2c.jpg,,,,红V
4756473688626358,LnH8AAc6O,5106794146,夜空中最亮的星茜,打个赌，梦华录6-7月开播，如果不是我手抄梦华录刘亦菲赵盼儿的所有台词，flag就立在这了@腾讯视频@电视剧梦华录别让我丢脸啊,,,"腾讯视频,电视剧梦华录",,8,98,215,2022-04-09 22:39,HUAWEI P30,,,,,黄V
